gloss_input,english_input,filipino_output,origin,context_tag
YOU CONTINUE,Go on.,Nagpapatuloy ka.,FSL,neutral
HE WALK SLOW,He walks slowly.,Naglalakad siyang mabagal.,FSL,action
YOU CHOOSE,You decide.,Pumipili ka.,FSL,neutral
SHE WRITE,She is writing.,Sumusulat siya.,FSL,common_verbs
WHERE WE MEET,Where do I meet you?,Saan tayo magkikita?,FSL,question
HE LIKE BLACK WHITE,He likes black and white.,Gusto niya ng itim at puti.,FSL,color
YOU WORK SMALL STORE,You work at a small store.,Nagtatrabaho ka sa maliit na tindahan.,FSL,place
YOU SAD,You're sad.,Malungkot ka.,FSL,emotion
YOU SLEEP,You're asleep.,Natutulog ka.,FSL,common_verbs
YOU FREE,You are free.,Libre ka.,FSL,neutral
OPEN THIS,Open it.,Buksan mo ito.,FSL,imperative
I KNOW HE GO,I know he's going to leave.,Alam kong pupunta siya.,FSL,neutral
I HELP FATHER,I help my father.,Tinutulungan ko ang aking ama.,FSL,people
YOU PLAY,You are playing.,Naglalaro ka.,FSL,common_verbs
READ THIS,Read this.,Basahin mo ito.,FSL,imperative
I WISH YOU COME,I wish you would come.,Nais kong dumating ka.,FSL,neutral
AFTERNOON SHE READ,In the afternoon she reads.,Sa hapon nagbabasa siya.,FSL,time
HE GO SCHOOL,He's going to school.,Pupunta siya sa paaralan.,FSL,place
YOU WANT READ WRITE,You want to read and write.,Gusto mong magbasa at sumulat.,FSL,action
I FIND BOOK,I find a book.,Nakahanap ako ng libro.,FSL,object_things
I START PLAY,I'm starting to play.,Nagsisimula akong maglaro.,FSL,action
HER FAMILY HAPPY,Her family is happy.,Masaya ang kanyang pamilya.,ASL,people
YOU DRIVE WORK HOME,You're going home from work.,Nagmamaneho ka mula trabaho papuntang bahay.,FSL,place
MORNING WE EXCITED,In the morning we are excited.,Nasasabik tayo sa umaga.,ASL,emotion
YOU WANT TWO,You want two.,Gusto mo ng dalawa.,FSL,number
HE IMPROVE,He's improving.,Bumubuti siya.,FSL,neutral
YOU RUN TOMORROW FAST,You will run fast tomorrow.,Tatakbo kang mabilis bukas.,FSL,action
GOODBYE YOU TOMORROW,I'll see you tomorrow.,Kita tayo bukas.,ASL,greeting
HELLO YOU HOW,"Hello, how are you?",Kamusta kumusta ka?,MIXED,greeting
THEY RUN FAST,They run fast.,Tumatakbo sila ng mabilis.,FSL,action
WE LIKE BLACK CAR,We like black cars.,Gusto natin ng itim na kotse.,FSL,color
YOU SPEAK,You speak.,Nagsasalita ka.,FSL,neutral
YOU ENJOY PLAY,You enjoy playing.,Nag-eenjoy kang maglaro.,FSL,action
MOTHER FATHER I LOVE,I love my parents.,Mahal ko ang aking mga magulang.,ASL,people
HE SAY MAYBE,He says maybe.,Sinasabi niyang marahil.,FSL,neutral
HE HAPPY READ,He is happy reading.,Masaya siya sa pagbasa.,FSL,action
SHE PLAY TODAY,She plays today.,Naglalaro siya ngayon.,FSL,action
I NEED SLEEP,I need to sleep.,Kailangan kong matulog.,FSL,action
HOME I HAPPY,I am happy at home.,Masaya ako sa bahay.,ASL,place
HE ANGRY SHE,He is angry at her.,Galit siya sa kaniya.,FSL,emotion
I SAD,I'm sad.,Malungkot ako.,FSL,emotion
I SEE PHONE,I see a phone.,Nakikita ko ang telepono.,FSL,object_things
YOU RUN FAST,You run fast.,Tumatakbo kang mabilis.,FSL,action
HE ALREADY LEAVE,He already left.,Umalis na siya.,FSL,time
YOU SELL THREE PHONE,You sell three phones.,Nagbebenta ka ng tatlong telepono.,FSL,number
SHE KNOW,She knows.,Alam niya.,FSL,neutral
PLEASE HELP,Please help me.,Pakiusap tumulong.,FSL,imperative
I TELL TRUTH,I'm telling the truth.,Sinasabi ko ang totoo.,FSL,neutral
HEY YOU HOW,Hey how are you?,Hoy kumusta ka?,MIXED,greeting
HE LOOK SAD YESTERDAY,He looked sad yesterday.,Mukhang malungkot siya kahapon.,FSL,emotion
NIGHT THEY HOME,They go home at night.,Sa gabi umuuwi sila.,ASL,time
I KNOW YOU COME,I know you will come.,Alam kong darating ka.,FSL,neutral
SHE WANT WRITE,She wants to write.,Gusto niyang sumulat.,FSL,action
HE CAN HELP HOW,How can he help?,Paano siya makakatulong?,ASL,question
THEY HAVE NICE MOTHER,They have a nice mother.,Mayroon silang mabait na ina.,FSL,people
SHE NEED YELLOW,She needs yellow.,Kailangan niya ng dilaw.,FSL,color
YOU PLAY AFTERNOON,You play in the afternoon.,Naglalaro ka sa hapon.,FSL,action
TODAY MORNING I GO,I'm leaving this morning.,Ngayong umaga pupunta ako.,ASL,time
WHAT HE EAT,What does he eat?,Ano ang kinakain niya?,FSL,question
I STUDY HARD SCHOOL,I'm studying hard at school.,Nag-aaral ako ng mabuti sa paaralan.,FSL,place
WHO WE CALL,Who do we call?,Sino ang tatawagan natin?,FSL,question
I PROUD OF YOU,I am proud of you.,Ipinagmamalaki kita.,FSL,emotion
YOU TAKE,You take.,Kumukunha ka.,FSL,neutral
YOU LIKE FAMILY,You like your family.,Gusto mo ang iyong pamilya.,FSL,people
HELP ME NOW,Help me now.,Tulungan mo ako ngayon.,FSL,imperative
I GO HOME SOON,I'm going home soon.,Uuwi ako mamaya.,FSL,place
THANKYOU MOTHER,Thank you mother.,Salamat ina.,FSL,greeting
HE STUDY HOME,He studies at home.,Nag-aaral siya sa bahay.,FSL,place
PLEASE COME HOME,Please come home.,Pakiusap umuwi ka.,FSL,imperative
HE LOOK TIRED,He looks tired.,Mukhang pagod siya.,FSL,neutral
YOU TALK,You talk.,Nakikipag-usap ka.,FSL,neutral
SHE OFTEN STUDY,She often studies.,Madalas nag-aaral siya.,FSL,time
I NEVER ANGRY,I am never angry.,Hindi ako kailanman galit.,FSL,time
I STOP PLAY,I stop playing.,Tumitigil akong maglaro.,FSL,action
HEY YOU HOW,"Hey, how are you?",Hoy kumusta ka?,MIXED,greeting
HE WALK HOME,He walks home.,Naglalakad siya pauwi.,FSL,place
I ADMIT IT,I admit it.,Inamin ko ito.,FSL,neutral
I CONTINUE,I'll keep going.,Nagpapatuloy ako.,FSL,neutral
WE HAPPY,We are happy.,Masaya tayo.,FSL,emotion
YOU HELP THEY,You help them.,Tinutulungan mo sila.,ASL,common_verbs
YOU EAT WHAT,What are you eating?,Ano ang kinakain mo?,ASL,question
GOOD YOU,You're good.,Mabuti ka.,ASL,common_verbs
YOU NEED WALK,You have to go.,Kailangan mong maglakad.,FSL,action
YOU HOW OLD,How old are you?,Ilang taon ka na?,ASL,question
STORE SHE GO,She's going to the store.,Pupunta siya sa tindahan.,ASL,place
TOMORROW YOU COME,Tomorrow you're coming.,Darating ka bukas.,ASL,common_verbs
HOW YOU FEEL,How do you feel?,Paano ang pakiramdam mo?,FSL,question
YOU SOON COME,You'll be here soon.,Darating ka mamaya.,FSL,time
SHE SCARED,She's scared.,Takot siya.,FSL,emotion
HE HAVE CAR,He's got a car.,Mayroon siyang kotse.,FSL,object_things
PHONE,A phone.,Isang telepono.,MIXED,object_things
I THINK YOU COME,I think you're coming.,Sa palagay ko darating ka.,FSL,neutral
WHEN SHE COME,When does she come?,Kailan siya dumarating?,FSL,question
I FIX,I fix.,Inaayos ko.,FSL,neutral
YOU MIGHT COME TODAY,You could come today.,Baka dumating ka ngayon.,FSL,time
HE MUST STOP NOW,He has to stop now.,Kailangan siyang tumigil ngayon.,FSL,imperative
TOMORROW HE WORK,He's working tomorrow.,Bukas magtatrabaho siya.,FSL,time
AFTERNOON HE PLAY,He plays in the afternoon.,Sa hapon naglalaro siya.,FSL,time
WRITE THIS,Write this.,Isulat mo ito.,FSL,imperative
YOU LOVE MOTHER,You love your mother.,Mahal mo ang iyong ina.,FSL,people
GO THERE,Go there.,Pumunta ka doon.,FSL,imperative
HE CALL MOTHER,He calls his mother.,Tumatawag siya sa kanyang ina.,FSL,people
YOU THINK,You think.,Sa palagay mo.,FSL,neutral
SHE GOOD MOTHER,She's a good mother.,Mabuting ina siya.,ASL,common_verbs
HEY EVERYONE,Hey everyone!,Hoy sa inyong lahat!,MIXED,greeting
MORNING GOOD EVERYONE,"Good morning, everyone.",Magandang umaga sa inyong lahat.,ASL,greeting
SHE RUN FRIEND,She runs with her friend.,Tumatakbo siya kasama ang kanyang kaibigan.,FSL,action
WE COME HOME,We're coming home.,Uuwi tayo.,FSL,place
HE GO SCHOOL,He goes to school.,Pupunta siya sa paaralan.,FSL,place
I LIVE HOME,I live at home.,Nakatira ako sa bahay.,FSL,place
I WAIT YOU,I wait for you.,Hinihintay kita.,FSL,neutral
THREE,Three.,Tatlo.,MIXED,number
I TALK,I'm talking.,Nakikipag-usap ako.,FSL,neutral
TODAY I GO,Today I'm leaving.,Ngayon pumupunta ako.,ASL,time
I OPEN DOOR,I open the door.,Binubuksan ko ang pinto.,FSL,neutral
I SOON GO,I will go soon.,Pupunta ako mamaya.,FSL,time
HE SHOULD STUDY MORE,He should study more.,Dapat siyang mag-aral pa.,FSL,action
WORK HE HAPPY,He is happy at work.,Masaya siya sa trabaho.,ASL,place
WATER THEY WANT,They want water.,Gusto nila ng tubig.,ASL,object_things
YOU COME HOME TOMORROW NIGHT,You come home tomorrow night.,Uuwi ka bukas ng gabi.,FSL,place
YOU COME SCHOOL,You come to school.,Pupupunta ka sa paaralan.,FSL,place
HE TOO TIRED,He is too tired.,Sobrang pagod niya.,FSL,emotion
TOMORROW AFTERNOON YOU COME,"Tomorrow afternoon, you're coming.",Bukas ng hapon darating ka.,ASL,time
HE HAVE SOME PHONE,He's got some phones.,Mayroon siyang ilang telepono.,FSL,number
YOU GO WORK,You go to work.,Pupunta ka sa trabaho.,FSL,place
YOU CLOSE DOOR,Close the door.,Isinasara mo ang pinto.,FSL,neutral
YOU BUILD,You're building.,Bumubuo ka.,FSL,neutral
WE FIND FOOD,We'll find food.,Nakahanap tayo ng pagkain.,FSL,object_things
YOU TRY,You try.,Sinusubukan mo.,FSL,neutral
HELLO MOTHER HOW,Hello mother how are you?,Kamusta ina kumusta ka?,MIXED,greeting
SHE EAT WHAT,What's she eating?,Ano ang kinakain niya?,ASL,question
YOU TOO SAD,You're too sad.,Sobrang lungkot mo.,FSL,emotion
I PAY,I'll pay.,Nagbabayad ako.,FSL,neutral
I BUY CAR,I'll buy a car.,Bumibili ako ng kotse.,FSL,object_things
HE MUST STOP NOW,He must stop now.,Kailangan siyang tumigil ngayon.,FSL,imperative
STOP RUN,Stop running.,Tigilan ang pagtakbo.,FSL,imperative
THEY HAVE WHITE CAR,You have a white car.,Mayroon silang puting kotse.,FSL,color
I HOPE YOU COME,I hope you will come.,Umaasa akong darating ka.,FSL,neutral
YOU THANK ME,You thank me.,Nagpapasalamat ka sa akin.,FSL,neutral
I CALL MOTHER,I call my mother.,Tumatawag ako sa aking ina.,FSL,people
SIX THEY LIKE,They like six.,Gusto nila ng anim.,ASL,number
YOU BUY,You buy.,Bumibili ka.,FSL,neutral
TOMORROW YOU READ,You'll read tomorrow.,Bukas magbabasa ka.,ASL,action
YOU MEETgloss_input,English_Enter,filipino_output,origin,context_tag
YOU STAY STORE,You stay at the store.,Nananatili ka sa tindahan.,FSL,place
HE MEET FRIEND,He meets his friend.,Nakikita niya ang kanyang kaibigan.,FSL,people
SHE USE PHONE,She uses a phone.,Gumagamit siya ng telepono.,FSL,object_things
I CAN GO HOME,I can go home.,Makakauwi ako.,FSL,place
YOU SEE FRIEND,You see your friend.,Nakikita mo ang iyong kaibigan.,FSL,people
WE MEET THEY,We meet them.,Nakikita natin sila.,FSL,people
SIX FRIEND,Six friends.,Anim na kaibigan.,MIXED,number
MORNING YOU,Good morning.,Umaga sa iyo.,ASL,greeting
HOME I GO,I'm going home.,Uuwi ako.,ASL,place
HE GIVE,He gives.,Nagbibigay siya.,FSL,neutral
I GO WITH MOTHER,I go with my mother.,Pumupunta ako kasama ang aking ina.,FSL,people
SHE GO FARM,She goes to the farm.,Pupunta siya sa bukid.,FSL,place
HE IMPROVE,He improves.,Bumubuti siya.,FSL,neutral
TOMORROW THEY PLAY,Tomorrow they play.,Bukas maglalaro sila.,FSL,time
HE PLAY WHAT,What is he playing?,Ano ang nilalaro niya?,ASL,question
RUN HE LIKE,He likes to run away.,Gusto niyang tumakbo.,ASL,action
TOMORROW WE WALK,Tomorrow we walk.,Bukas maglalakad tayo.,ASL,action
YESTERDAY YOU EAT,You ate yesterday.,Kahapon kumain ka.,FSL,time
WHO WE CALL,Who are we calling?,Sino ang tatawagan natin?,FSL,question
HE PLAY SHE,He's playing with her.,Naglalaro siya kasama niya.,FSL,action
WE NO GO,We don't go.,Hindi tayo pupunta.,FSL,neutral
AFTERNOON YOU SLEEP,You sleep in the afternoon.,Sa hapon natutulog ka.,ASL,time
YOU RUN WHY,Why are you running?,Bakit ka tumatakbo?,ASL,question
I GO TOMORROW MORNING,I go tomorrow morning.,Pupunta ako bukas ng umaga.,FSL,time
I CONTINUE WALK,I'm moving on.,Nagpapatuloy akong maglakad.,FSL,action
YOU PREPARE,You're getting ready.,Naghahanda ka.,FSL,neutral
HE READ,He reads.,Nagbabasa siya.,FSL,action
THEY PLAY TOMORROW,They'll play tomorrow.,Maglalaro sila bukas.,FSL,time
WHERE CAR YOU GO,Where are you going by car?,Saan ka pupunta sa kotse?,FSL,question
HE MAY HELP US,He may help us.,Maaaring tumulong siya sa atin.,FSL,common_verbs
I ENJOY HOME,I like being home.,Nag-eenjoy ako sa bahay.,FSL,place
YOU JUST COME,You just came.,Dumating ka lang.,FSL,time
I GRATEFUL TO YOU,I am grateful to you.,Nagpapasalamat ako sa iyo.,FSL,emotion
I PLAY RUN HOME,I play and run at home.,Naglalaro at tumatakbo ako sa bahay.,FSL,action
SIX,Six.,Anim.,MIXED,number
REMEMBER THIS,Remember that.,Tandaan mo ito.,FSL,imperative
WHEN YOU COME HOME,When are you coming home?,Kailan ka uuwi?,FSL,question
YOU STILL SCHOOL,You're still in school.,Nasa paaralan ka pa rin.,FSL,place
I HAVE SIX,I have six.,Mayroon akong anim.,FSL,number
I READ TOMORROW,I will read tomorrow.,Magbabasa ako bukas.,FSL,action
I READ,I am reading.,Nagbabasa ako.,FSL,common_verbs
I PLAY,I play.,Naglalaro ako.,FSL,action
I WANT READ,I want to read.,Gusto kong magbasa.,FSL,action
YOU WALK WORK,You're going to work.,Naglalakad ka papuntang trabaho.,FSL,place
YOU LOVE READ,You love to read.,Mahal mong magbasa.,FSL,action
THANKYOU FRIEND,"Thank you, friend.",Salamat kaibigan.,FSL,greeting
YOU HAVE ONE,You have one.,Mayroon kang isa.,FSL,number
BLACK BOOK,Black book.,Itim na libro.,MIXED,color
YOU HOLD BOOK,You keep the book.,Hawak mo ang libro.,FSL,neutral
I RUN FAST,I run fast.,Tumatakbo ako ng mabilis.,FSL,action
GOODBYE FATHER TOMORROW,"Goodbye, Father, I'll see you tomorrow.",Paalam ama kita tayo bukas.,MIXED,greeting
SHE COOK,She's cooking.,Nagluluto siya.,FSL,neutral
I NEED WATER,I need water.,Kailangan ko ng tubig.,FSL,object_things
TODAY I PLAY,Today I play.,Ngayon naglalaro ako.,ASL,action
YOU STOP RUN,You stop running.,Tumitigil kang tumakbo.,FSL,action
YOU CAN WRITE,You can write.,Makakasulat ka.,FSL,action
SHE WORK SCHOOL,She works at school.,Nagtatrabaho siya sa paaralan.,FSL,place
WE FEEL EXCITED,We're excited.,Nakakaramdam tayo ng sabik.,FSL,emotion
I LOVE MOTHER,I love my mother.,Mahal ko ang aking ina.,FSL,people
HE PLAY WHAT,What's he playing?,Ano ang nilalaro niya?,ASL,question
HE SEE THREE,He sees three.,Nakikita niya ang tatlo.,FSL,number
YOU WAIT ME,You wait for me.,Hinihintay mo ako.,FSL,neutral
YOU BRING,You bring.,Dala mo.,FSL,neutral
I NEED READ,I have to read.,Kailangan kong magbasa.,FSL,action
I WANT RED CAR,I want a red car.,Gusto ko ng pulang kotse.,FSL,color
I JUST ARRIVE,I just got here.,Dumating lang ako.,FSL,time
THEY HAVE SIX FOOD,You have six groceries.,Mayroon silang anim na pagkain.,FSL,number
I SLEEP TOMORROW NIGHT,I will sleep tomorrow night.,Matutulog ako bukas ng gabi.,FSL,time
MORNING SHE EAT,In the morning she eats.,Sa umaga kumakain siya.,ASL,time
I COME WORK,I come to work.,Pupupunta ako sa trabaho.,FSL,place
HE DO HIS BEST,He does his best.,Ginagawa niya ang kanyang best.,FSL,neutral
YOU SURE,You're safe.,Sigurado ka.,FSL,neutral
HE LIKE FRIEND,He likes his boyfriend.,Gusto niya ang kanyang kaibigan.,FSL,people
I FINISH READ,I'm finishing reading.,Natapos akong magbasa.,FSL,action
YOU CAN COME SCHOOL TOMORROW,You can come to school tomorrow.,Makakapunta ka sa paaralan bukas.,FSL,place
MOTHER I CALL,I call my mother.,Tumatawag ako sa aking ina.,ASL,people
I DO,I'll do it.,Ginagawa ko.,FSL,neutral
I START READ,I start reading.,Nagsisimula akong magbasa.,FSL,action
HE WALK FATHER,He walks with his father.,Naglalakad siya kasama ang kanyang ama.,FSL,action
HE MIGHT HELP YOU,He could help you.,Baka tumulong siya sa iyo.,FSL,common_verbs
THEY NEED WE,They need us.,Kailangan nila tayo.,ASL,common_verbs
HE UNDERSTAND,He understands.,Naiintindihan niya.,FSL,neutral
YOU BUY HOUSE,You buy a house.,Bumibili ka ng bahay.,FSL,object_things
I CONTINUE,I continue.,Nagpapatuloy ako.,FSL,neutral
YOU WALK WORK,You walk to work.,Naglalakad ka papuntang trabaho.,FSL,place
HAPPY I YOU,I am happy with you.,Masaya ako sa iyo.,ASL,emotion
I READY,I am ready.,Handa ako.,FSL,neutral
SHE EAT FOOD,She eats food.,Kumakain siya ng pagkain.,FSL,object_things
YOU LEAVE,You're leaving.,Umaalis ka.,FSL,neutral
HE READY,He's ready.,Handa siya.,FSL,neutral
WHEN THEY ARRIVE,When do they arrive?,Kailan sila darating?,FSL,question
YOU WILL COME TODAY,You will come today.,Darating ka ngayon.,FSL,time
THEY SCARED HOME,They are scared at home.,Takot sila sa bahay.,FSL,emotion
SHE MEET MOTHER,She's meeting her mother.,Nakikita niya ang kanyang ina.,FSL,people
GOOD MORNING,Good morning.,Magandang umaga.,FSL,greeting
THEY SLEEP,They're asleep.,Natutulog sila.,FSL,common_verbs
YOU PLAY ME,You play with me.,Naglalaro ka kasama ako.,FSL,action
HOW OLD YOU,How old are you?,Ilang taon ka na?,FSL,question
I HAPPY,I'm happy.,Masaya ako.,FSL,emotion
YESTERDAY AFTERNOON THEY PLAY,Yesterday afternoon they played.,Kahapon ng hapon naglaro sila.,ASL,time
I LOVE MY FAMILY,I love my family.,Mahal ko ang aking pamilya.,FSL,people
HE SO TIRED NOW,He's so tired now.,Napakagod niya ngayon.,FSL,emotion
SHE GO STORE,She's going to the store.,Pupunta siya sa tindahan.,FSL,place
YOU WANT LEAVE SCHOOL,You want to leave school.,Gusto mong umalis sa paaralan.,FSL,place
YOU PLAY WHAT,What are you playing?,Ano ang nilalaro mo?,ASL,question
I GO WORK MORNING,I go to work in the morning.,Pumupunta ako sa trabaho sa umaga.,FSL,time
SCHOOL YOU STAY,You stay in school.,Nananatili ka sa paaralan.,ASL,place
SHE HAVE FIVE,She has five.,Mayroon siyang lima.,FSL,number
HAPPY ME,I'm happy.,Masaya ako.,ASL,emotion
YOU TRY HARD,You're trying.,Sinusubukan mong mabuti.,FSL,neutral
HE WIN,He wins.,Nanalo siya.,FSL,neutral
I TEXT FRIEND,I'm writing to my friend.,Nagtetext ako sa aking kaibigan.,FSL,neutral
HE LESS TIRED NOW,He is less tired now.,Mas hindi pagod siya ngayon.,FSL,emotion
SHE COUNT NINE TEN,She's counting nine ten.,Binibilang niya siyam sampu.,FSL,number
I KNOW HE GO,I know he will go.,Alam kong pupunta siya.,FSL,neutral
HE NEED RUN,He has to run away.,Kailangan niyang tumakbo.,FSL,action
YOU NOT SURE,You're not sure.,Hindi ka sigurado.,FSL,neutral
HE GETTING BETTER,He is getting better.,Gumagaling na siya.,FSL,emotion
I WANT THING,I want something.,Gusto ko ng bagay.,FSL,object_things
FATHER,Father.,Ama.,MIXED,people
HE NO ANGRY,He's not angry.,Hindi siya galit.,FSL,emotion
I THINK,I think so.,Sa palagay ko.,FSL,neutral
I LIKE RED,I like red.,Gusto ko ng pula.,FSL,color
YOU COME TODAY,You're coming today.,Darating ka ngayon.,FSL,time
YOU PROUD ME,You are proud of me.,Ipinagmamalaki mo ako.,FSL,neutral
YOU EXCITED ABOUT IT,You're excited about it.,Nasasabik ka tungkol dito.,FSL,emotion
THEY SEE SIX,They see six.,Nakikita nila ang anim.,FSL,number
I GO TOMORROW MORNING,I'm leaving in the morning.,Pupunta ako bukas ng umaga.,FSL,time
YOU WANT BLUE BOOK,You want a blue book.,Gusto mo ng asul na libro.,FSL,color
THEY AT STORE,They're in the store.,Nasa tindahan sila.,FSL,place
HE WORK STORE YESTERDAY,He worked at the store yesterday.,Nagtrabaho siya sa tindahan kahapon.,FSL,place
HE LIKE BOOK,He likes books.,Gusto niya ng libro.,FSL,common_verbs
I CALL FRIEND,I'll call my friend.,Tumatawag ako sa aking kaibigan.,FSL,neutral
YOU WANT RUN WALK SCHOOL,You want to run and run at school.,Gusto mong tumakbo at maglakad sa paaralan.,FSL,action
HOME I GO,I go home.,Uuwi ako.,ASL,place
WHERE YOU LIVE NOW,Where do you live now?,Saan ka nakatira ngayon?,FSL,question
I SCARED,I am scared.,Takot ako.,FSL,emotion
YOU LOOK HAPPY TODAY,You look happy today.,Mukhang masaya ka ngayon.,FSL,emotion
I ALWAYS HAPPY,I am always happy.,Lagi akong masaya.,FSL,emotion
PUT THIS,Put this.,Ilagay mo ito.,FSL,imperative
YOU LIKE SLEEP,You like to sleep.,Gusto mong matulog.,FSL,action
WE LIVE FARM,We live on the farm.,Nakatira tayo sa bukid.,FSL,place
I TIRED RUN,I'm tired of running.,Pagod ako sa pagtakbo.,FSL,action
YOU WORK HARD WORK,You work hard at work.,Nagtatrabaho ka ng mabuti sa trabaho.,FSL,place
TODAY I GO HOME,I'm going home today.,Ngayon uuwi ako.,FSL,place
YOU EAT FOOD WHAT,What kind of food are you eating?,Anong pagkain ang kinakain mo?,ASL,question
NIGHT HE SLEEP,He sleeps at night.,Sa gabi natutulog siya.,ASL,time
FOUR,Four.,Apat.,MIXED,number
WE COME HOME,We come home.,Uuwi tayo.,FSL,place
THEY NO SCARED,They are not scared.,Hindi sila takot.,FSL,emotion
I STILL HAPPY,I am still happy.,Masaya pa rin ako.,FSL,emotion
YOU MAY COME SCHOOL,You may come to school.,Maaaring pumunta ka sa paaralan.,FSL,place
YOU BECOME SAD,You become sad.,Nagiging malungkot ka.,FSL,emotion
COME,Come here.,Halika dito.,FSL,common_verbs
I GO FROM HOME,I go from home.,Umalis ako sa bahay.,FSL,place
